20 # total generations
20 # population p1
20 # population p2
0.214563 0.235125 0.557855 36
0.215664 0.241594 0.553485 36
0.216116 0.234591 0.538901 36
0.230997 0.232828 0 36
0.209885 0.277489 0 36
0.222944 0.24244 0 36
0.207321 0.246426 0 36
0.211614 0.317434 0 36
0.207964 0.230433 0 36
0.246076 0.267693 0 36
0.199045 0.243026 0 36
0.189099 0.286752 0 36
0.193411 0.252762 0 36
0.204935 0.256303 0.56153 17
0.206372 0.275509 0.521836 17
0.225137 0.270433 0.520769 17
0.21893 0.279286 0.514243 17
0.232579 0.257336 0.50105 17
0.207188 0.236229 0.495167 17
0.201396 0.271774 0.492438 17
0.234225 0.249989 0.490419 17
0.220152 0.285081 0.476276 17
0.232575 0.273659 0.458402 17
0.185624 0.259317 0 17
0.193974 0.27419 0 17
0.220001 0.324149 0 17
0.214927 0.285364 0 17
0.238927 0.24263 0 17
0.229687 0.230761 0 17
0.237255 0.239051 0 17
0.213388 0.233612 0 17
0.183338 0.279228 0 17
0.22217 0.308844 0 17
0.199045 0.243026 0.889798 37
0.203328 0.259898 0.884034 37
0.207964 0.230433 0.873499 37
0.21363 0.249275 0.858954 37
0.213489 0.244866 0.856844 37
0.196392 0.245834 0.849006 37
0.210204 0.224473 0.847997 37
0.20357 0.21293 0.845725 37
0.214563 0.235125 0.843699 37
0.215664 0.241594 0.841808 37
0.175977 0.249207 0 37
0.194541 0.256803 0 37
0.228686 0.248886 0 37
0.172764 0.249218 0 37
0.182572 0.258979 0 37
0.184231 0.252344 0 37
0.205478 0.225219 0 37
0.206539 0.279626 0 37
0.18628 0.253447 0 37
0.197471 0.232062 0 37
0.207188 0.236229 0.570289 18
0.201396 0.271774 0.534191 18
0.213388 0.233612 0.532553 18
0.206372 0.275509 0.526341 18
0.234225 0.249989 0.498592 18
0.232579 0.257336 0.495164 18
0.185624 0.259317 0.477944 18
0.225137 0.270433 0.467149 18
0.193974 0.27419 0.462037 18
0.21893 0.279286 0.452777 18
0.222866 0.216187 0 18
0.206755 0.300242 0 18
0.187045 0.278601 0 18
0.244738 0.274969 0 18
0.245366 0.25146 0 18
0.204396 0.25654 0 18
0.234776 0.250921 0 18
0.232154 0.231206 0 18
0.198923 0.276747 0 18
0.197451 0.229418 0 18
0.207964 0.230433 0.57154 38
0.205478 0.225219 0.5678 38
0.197471 0.232062 0.552955 38
0.210204 0.224473 0.545444 38
0.214563 0.235125 0.544049 38
0.20357 0.21293 0.542561 38
0.213489 0.244866 0.538103 38
0.215664 0.241594 0.531841 38
0.21363 0.249275 0.526045 38
0.196392 0.245834 0.524341 38
0.177505 0.246198 0 38
0.203921 0.265387 0 38
0.189247 0.219974 0 38
0.192628 0.220472 0 38
0.192435 0.193129 0 38
0.203768 0.220385 0 38
0.18536 0.234643 0 38
0.19446 0.255186 0 38
0.176189 0.212206 0 38
0.205437 0.215233 0 38
0.213388 0.233612 0.57108 19
0.197451 0.229418 0.537934 19
0.204396 0.25654 0.532353 19
0.201396 0.271774 0.403254 19
0.232154 0.231206 0.400736 19
0.206372 0.275509 0.386953 19
0.234225 0.249989 0.373561 19
0.234776 0.250921 0.363194 19
0.222866 0.216187 0.360275 19
0.185624 0.259317 0.35003 19
0.244876 0.247989 0 19
0.228425 0.25961 0 19
0.157406 0.247731 0 19
0.188367 0.294963 0 19
0.175568 0.290378 0 19
0.198638 0.22889 0 19
0.195184 0.219825 0 19
0.201065 0.221607 0 19
0.185875 0.274105 0 19
0.167405 0.259225 0 19
0.205478 0.225219 0.508643 39
0.197471 0.232062 0.500935 39
0.207964 0.230433 0.499347 39
0.20357 0.21293 0.496886 39
0.205437 0.215233 0.493908 39
0.210204 0.224473 0.473008 39
0.196392 0.245834 0.454441 39
0.214563 0.235125 0.440958 39
0.213489 0.244866 0.426883 39
0.215664 0.241594 0.415163 39
0.207231 0.299026 0 39
0.190313 0.286386 0 39
0.206245 0.255416 0 39
0.209521 0.231491 0 39
0.217371 0.201317 0 39
0.171166 0.199792 0 39
0.2074 0.180533 0 39
0.217761 0.219453 0 39
0.23183 0.235938 0 39
0.215977 0.207184 0 39
